"Scardinius erythrophthalmus,12,14,2,species-level (binomial)",0
"s",0
"Epinephelus niveatus",6
"Esox americanus vermiculatus",6
"Bombyx mori",0
"Sardinops melanostictus",451
"Euvola ziczac",0
"Pollicipes pollicipes",0
"Haliotis iris",0
"Apis mellifera",0
"Microchirus variegatus",6
"Bathynomus giganteus",0
"Trionyx sinensis",127
"Micropterus treculii",6
"Penaeus monodon",0
"Mobula thurstoni",6
"Panulirus cygnus",0
"Panulirus japonicus",0
"Mya arenaria",0
"Hexagrammos octogrammus",47
"Octopus vulgaris",0
"Ruditapes philippinarum",0
"Venerupis philippinarum",0
"Panulirus ornatus",0
"Euastacus armatus",0
"Panulirus versicolor",0
"Panulirus penicillatus",0
"Paracaesio xanthura",6
"Haliotis gigantea",0
"Mytilus galloprovincialis",0
"Parupeneus cyclostomus",6
"Callinectes sapidus",0
"Procambarus acutus",0
"Litopenaeus vannamei",0
"Penaeus vannamei",0
"Pseudopentaceros wheeleri",6
"Rana catesbeiana",31
"Pterogymnus laniarius",6
"Apis cerana",0
"Saccostrea cuccullata",0
"Farfantepenaeus brasiliensis",0
"Farfantepenaeus duorarum",0
"Vespa orientalis",0
"Pomatomus saltatrix",26
"Watasenia scintillans",0
"Schistocerca gregaria",0
"Amphioctopus fangsiao",0
"Alosa alosa",5
"Manta birostris",21
"Arca granosa",0
"Portunus pelagicus",0
"Scylla paramamosain",0
"Centroberyx affinis",5
"Apostichopus japonicus",0
"Centroberyx gerrardi",5
"Lutjanus johnii",19
"Amusium pleuronectes",0
"Archosargus probatocephalus",18
"Ostrea edulis",0
"Raja eglanteria",18
"Ensis siliqua",0
"Mullus barbatus",17
"Myxine glutinosa",17
"Scylla serrata",0
"Fenneropenaeus indicus",0
"Penaeus indicus",0
"Ctenopharyngodon idellus",14
"Merluccius paradoxus",14
"Scardinius erythrophthalmus",14
"Ensis arcuatus",0
"Genypterus capensis",13
"Kyphosus sectator",13
"Crassostrea gigas",0
"Eriocheir sinensis",0
"Helix pomatia",0
"Leucoraja erinacea",12
"Macrobrachium rosenbergii",0
"Magallana gigas",0
"Mytilus edulis",0
"Sthenoteuthis oualaniensis",0
"Acanthopagrus berda",12
"Austroglossus microlepis",11
"Carcharhinus porosus",11
"Catla catla",11
"Fenneropenaeus merguiensis",0
"Gibelion catla",11
"Myliobatis freminvillii",11
"Pecten maximus",0
"Penaeus semisulcatus",0
"Trachysalambria curvirostris",0
"Vespa velutina",0
"Argopecten irradians",0
"Argopecten purpuratus",0
"Brama brama",10
"Cherax destructor",0
"Esox americanus americanus",10
"Leiognathus equulus",10
"Pecten novaezelandiae",0
"Portunus armatus",0
"Portunus sanguinolentus",0
"Procambarus clarkii",0
"Scylla tranquebarica",0
"Sepia esculenta",0
"Mycteroperca jordani",9
"Panulirus homarus",0
"Zenopsis conchifera",9
"Argopecten ventricosus",0
"Austroglossus pectoralis",8
"Homarus gammarus",0
"Oligoplites saurus",8
"Panulirus polyphagus",0
"Pennahia anea",8
"Pristipomoides typus",8
"Sepioteuthis lessoniana",0
"Seriolella brama",8
"Sphenarium purpurascens",0
"Zenopsis nebulosa",8
"Zygochlamys patagonica",0
"Arripis georgianus",7
"Macrotermes subhyalinus",0
"Metapenaeus ensis",0
"Mytilus californianus",0
"Osmerus dentex",7
"Osmerus mordax dentex",7
"Paracentrotus lividus",0
"Parachanna obscura",7
"Patella caerulea",0
"Placopecten magellanicus",0
"Scylla olivacea",0
"Sepia lycidas",0
"Strongylocentrotus droebachiensis",0
